"Gross domestic product (GDP) by state (millions of current dollars)"
"Levels" 
"Bureau of Economic Analysis" 
""
"Fips","Area","IndCode","Industry","2014"
"00000","United States","1","All industry total",17316314
"00000","United States","3","    Agriculture, forestry, fishing, and hunting",210227
"01000","Alabama","1","All industry total",199440
"01000","Alabama","3","    Agriculture, forestry, fishing, and hunting",3133
"02000","Alaska","1","All industry total",57080
"02000","Alaska","3","    Agriculture, forestry, fishing, and hunting",434
"04000","Arizona","1","All industry total",284156
"04000","Arizona","3","    Agriculture, forestry, fishing, and hunting",2205
"05000","Arkansas","1","All industry total",121395
"05000","Arkansas","3","    Agriculture, forestry, fishing, and hunting",3996
"06000","California","1","All industry total",2311616
"06000","California","3","    Agriculture, forestry, fishing, and hunting",34801
"08000","Colorado","1","All industry total",306663
"08000","Colorado","3","    Agriculture, forestry, fishing, and hunting",3264
"09000","Connecticut","1","All industry total",253036
"09000","Connecticut","3","    Agriculture, forestry, fishing, and hunting",323
"10000","Delaware","1","All industry total",62756
"10000","Delaware","3","    Agriculture, forestry, fishing, and hunting","(D)"
"11000","District of Columbia","1","All industry total",115473
"11000","District of Columbia","3","    Agriculture, forestry, fishing, and hunting","(L)"
"12000","Florida","1","All industry total",839944
"12000","Florida","3","    Agriculture, forestry, fishing, and hunting",6759
"13000","Georgia","1","All industry total",476483
"13000","Georgia","3","    Agriculture, forestry, fishing, and hunting",5587
"15000","Hawaii","1","All industry total",77389
"15000","Hawaii","3","    Agriculture, forestry, fishing, and hunting",528
"16000","Idaho","1","All industry total",63952
"16000","Idaho","3","    Agriculture, forestry, fishing, and hunting",4457
"17000","Illinois","1","All industry total",745875
"17000","Illinois","3","    Agriculture, forestry, fishing, and hunting",10609
"18000","Indiana","1","All industry total",317840
"18000","Indiana","3","    Agriculture, forestry, fishing, and hunting",5971
"19000","Iowa","1","All industry total",170613
"19000","Iowa","3","    Agriculture, forestry, fishing, and hunting",12267
"20000","Kansas","1","All industry total",147075
"20000","Kansas","3","    Agriculture, forestry, fishing, and hunting",8136
"21000","Kentucky","1","All industry total",188602
